Energy(keV) 	 Hits(N) 
1	568341	
2	570196	
3	572215	
4	574487	
5	577034	
6	579843	
7	582887	
8	586135	
9	589559	
10	593133	
11	596834	
12	600644	
13	604546	
14	608527	
15	612576	
16	616681	
17	620837	
18	625034	
19	629267	
20	633532	
21	637824	
22	642138	
23	646472	
24	650823	
25	655189	
26	659568	
27	663957	
28	668355	
29	672761	
30	677173	
31	681591	
32	686013	
33	690439	
34	694869	
35	699300	
36	703734	
37	708169	
38	712606	
39	717043	
40	721480	
41	725918	
42	730356	
43	734793	
44	739230	
45	743667	
46	748103	
47	752538	
48	756972	
49	761405	
50	765838	
51	770269	
52	774699	
53	779129	
54	783557	
55	787984	
56	792410	
57	796835	
58	801259	
59	805682	
60	810103	
61	814524	
62	818944	
63	823363	
64	827781	
65	832199	
66	836615	
67	841031	
68	845446	
69	849860	
70	854273	
71	858686	
72	863099	
73	867511	
74	871922	
75	876333	
76	880744	
77	885154	
78	889564	
79	893974	
80	898384	
81	902793	
82	907202	
83	911612	
84	916021	
85	920430	
86	924840	
87	929249	
88	933659	
89	938069	
90	942479	
91	946889	
92	951300	
93	955711	
94	960122	
95	964534	
96	968947	
97	973360	
98	977773	
99	982187	
100	986602	
101	991017	
102	995433	
103	999850	
104	1004268	
105	1008686	
106	1013105	
107	1017526	
108	1021947	
109	1026369	
110	1030791	
111	1035215	
112	1039640	
113	1044066	
114	1048493	
115	1052922	
116	1057351	
117	1061781	
118	1066213	
119	1070646	
120	1075080	
121	1079515	
122	1083952	
123	1088390	
124	1092830	
125	1097270	
126	1101712	
127	1106156	
128	1110601	
129	1115047	
130	1119495	
131	1123945	
132	1128396	
133	1132848	
134	1137302	
135	1141758	
136	1146215	
137	1150674	
138	1155134	
139	1159596	
140	1164060	
141	1168525	
142	1172993	
143	1177461	
144	1181932	
145	1186404	
146	1190879	
147	1195354	
148	1199832	
149	1204312	
150	1208793	
151	1213276	
152	1217761	
153	1222248	
154	1226737	
155	1231228	
156	1235720	
157	1240215	
158	1244711	
159	1249210	
160	1253710	
161	1258213	
162	1262717	
163	1267223	
164	1271731	
165	1276242	
166	1280754	
167	1285268	
168	1289785	
169	1294303	
170	1298824	
171	1303346	
172	1307871	
173	1312398	
174	1316927	
175	1321458	
176	1325991	
177	1330526	
178	1335063	
179	1339603	
180	1344144	
181	1348688	
182	1353234	
183	1357782	
184	1362332	
185	1366885	
186	1371439	
187	1375996	
188	1380555	
189	1385116	
190	1389680	
191	1394245	
192	1398813	
193	1403383	
194	1407956	
195	1412530	
196	1417107	
197	1421686	
198	1426267	
199	1430851	
200	1435437	
201	1440025	
202	1444615	
203	1449208	
204	1453803	
205	1458400	
206	1462999	
207	1467601	
208	1472205	
209	1476811	
210	1481420	
211	1486031	
212	1490644	
213	1495260	
214	1499877	
215	1504498	
216	1509120	
217	1513745	
218	1518372	
219	1523001	
220	1527633	
221	1532267	
222	1536904	
223	1541542	
224	1546184	
225	1550827	
226	1555473	
227	1560121	
228	1564771	
229	1569424	
230	1574079	
231	1578737	
232	1583396	
233	1588059	
234	1592723	
235	1597390	
236	1602059	
237	1606731	
238	1611404	
239	1616081	
240	1620759	
241	1625440	
242	1630124	
243	1634809	
244	1639497	
245	1644187	
246	1648880	
247	1653575	
248	1658273	
249	1662972	
250	1667675	
251	1672379	
252	1677086	
253	1681795	
254	1686507	
255	1691220	
256	1695937	
257	1700655	
258	1705376	
259	1710099	
260	1714825	
261	1719553	
262	1724283	
263	1729016	
264	1733751	
265	1738488	
266	1743228	
267	1747970	
268	1752715	
269	1757461	
270	1762210	
271	1766962	
272	1771716	
273	1776472	
274	1781230	
275	1785991	
276	1790754	
277	1795519	
278	1800287	
279	1805057	
280	1809829	
281	1814604	
282	1819381	
283	1824161	
284	1828942	
285	1833726	
286	1838513	
287	1843301	
288	1848092	
289	1852885	
290	1857681	
291	1862479	
292	1867279	
293	1872081	
294	1876886	
295	1881693	
296	1886502	
297	1891314	
298	1896128	
299	1900944	
300	1905763	
301	1910583	
302	1915406	
303	1920232	
304	1925059	
305	1929889	
306	1934721	
307	1939556	
308	1944393	
309	1949231	
310	1954073	
311	1958916	
312	1963762	
313	1968610	
314	1973460	
315	1978312	
316	1983167	
317	1988024	
318	1992883	
319	1997745	
320	2002608	
321	2007474	
322	2012342	
323	2017213	
324	2022085	
325	2026960	
326	2031837	
327	2036716	
328	2041597	
329	2046481	
330	2051367	
331	2056255	
332	2061145	
333	2066037	
334	2070932	
335	2075829	
336	2080728	
337	2085629	
338	2090532	
339	2095437	
340	2100345	
341	2105255	
342	2110167	
343	2115081	
344	2119997	
345	2124916	
346	2129836	
347	2134759	
348	2139684	
349	2144611	
350	2149540	
351	2154471	
352	2159404	
353	2164340	
354	2169278	
355	2174217	
356	2179159	
357	2184103	
358	2189049	
359	2193997	
360	2198948	
361	2203900	
362	2208854	
363	2213811	
364	2218770	
365	2223730	
366	2228693	
367	2233658	
368	2238625	
369	2243594	
370	2248565	
371	2253538	
372	2258513	
373	2263490	
374	2268469	
375	2273451	
376	2278434	
377	2283419	
378	2288407	
379	2293396	
380	2298387	
381	2303381	
382	2308376	
383	2313374	
384	2318373	
385	2323374	
386	2328378	
387	2333383	
388	2338391	
389	2343400	
390	2348412	
391	2353425	
392	2358440	
393	2363458	
394	2368477	
395	2373498	
396	2378521	
397	2383546	
398	2388573	
399	2393602	
400	2398633	
401	2403666	
402	2408701	
403	2413738	
404	2418777	
405	2423817	
406	2428860	
407	2433904	
408	2438950	
409	2443999	
410	2449049	
411	2454101	
412	2459155	
413	2464210	
414	2469268	
415	2474328	
416	2479389	
417	2484452	
418	2489517	
419	2494584	
420	2499653	
421	2504724	
422	2509796	
423	2514871	
424	2519947	
425	2525025	
426	2530105	
427	2535186	
428	2540270	
429	2545355	
430	2550442	
431	2555531	
432	2560622	
433	2565715	
434	2570809	
435	2575905	
436	2581003	
437	2586102	
438	2591204	
439	2596307	
440	2601412	
441	2606519	
442	2611627	
443	2616737	
444	2621849	
445	2626963	
446	2632079	
447	2637196	
448	2642315	
449	2647435	
450	2652558	
451	2657682	
452	2662808	
453	2667935	
454	2673064	
455	2678195	
456	2683328	
457	2688462	
458	2693598	
459	2698736	
460	2703875	
461	2709016	
462	2714158	
463	2719303	
